"name","birth_place","death_place","gender","citizenship","occupation_str","birth_year","death_year"
"Chaim Soutine","Smilavièy","16th arrondissement of Paris","male","France","artist,painter,architectural draftsperson","1893","1943"
"Forrest Bess","Bay City","Bay City","male","United States of America","painter","1911","1977"
"Jose Clemente Orozco","Ciudad Guzmán","Mexico City","male","Mexico","painter,muralist,drawer","1883","1949"
"Kathe Kollwitz","Königsberg","Moritzburg","female","Weimar Republic","artist,illustrator,poster artist,painter,sculptor,graphic artist,designer,printmaker,architectural draftsperson,drawer,lithographer,autobiographer","1867","1945"
"Kerry James Marshall","Birmingham",,"male","United States of America","painter,architectural draftsperson,drawer,collagist","1955",
"Matthew Smith","Halifax","Chelsea","male","United Kingdom","broadcast journalist,badminton player,artist,painter,drawer,engineer,video game designer,writer,comics editor,politician,military personnel,cricketer,university teacher,field hockey player,spy,playwright,barrister,mycologist,phytopathologist,association football player,rower,researcher,rowing administrator,performing artist,choreographer,dancer,academic,computer scientist,lawyer,civil servant,magistrate,floorball player,rugby league player,school teacher,basketball player,fencer","1967","1959"
"Cindy Sherman","Glen Ridge",,"female","United States of America","photographer,artist,film director,director,women's rights activist","1954",
"Kara Walker","Stockton",,"female","United States of America","photographer,artist,illustrator,painter,sculptor,filmmaker,graphic artist,visual artist,performance artist,printmaker,architectural draftsperson,installation artist,video artist,researcher","1969",
"Kiki Smith","Germany",,"female","United States of America","photographer,artist,illustrator,painter,cartoonist,sculptor,graphic artist,film director,visual artist,performance artist,printmaker,architectural draftsperson","1954",
"Linder","Liverpool","Vienna","female","United Kingdom","photographer,artist,musician,designer,performance artist,botanist,mycologist,painter,engraver,printmaker,drawer","1954","1946"
"May Wilson","Baltimore",,"female","United States of America","artist","1905","1986"
"Nalini Malani","Karachi",,"female","India","artist,painter,printmaker,video artist","1946",
"Senga Nengudi","Chicago",,"female","United States of America","curator,sculptor,performance artist","1943",
"Shirin Neshat","Qazvin",,"female","United States of America","screenwriter,photographer,painter,filmmaker,film director,visual artist,documentarian,video artist,opera director,video installation artist","1957",
"Wangechi Mutu","Nairobi",,"female","United States of America","painter,sculptor,visual artist,drawer,installation artist,collagist","1972",
"Edouard Manet","former 10th arrondissement of Paris","Paris","male","France","artist,illustrator,painter,visual artist,architectural draftsperson,drawer,lithographer","1832","1883"
"Eva Gonzales","Paris","Paris","female","France","artist,painter,art model,pastellist","1847","1883"
"Maurice Prendergast","St. John's","New York City","male","United States of America","painter,drawer","1858","1924"
"El Anatsui","Ghana",,"male","Ghana","painter,sculptor,university teacher,ceramicist,textile artist,installation artist","1944",
"Carlos Cruz-Diez","Caracas","Neuilly-sur-Seine","male","France","painter,sculptor,jewelry designer,installation artist,serigrapher,light artist","1923","2019"
"Heinz Mack","Lollar",,"male","Germany","photographer,painter,sculptor,graphic artist,printmaker,drawer,kinetic artist","1931",
"Jesus Rafael Soto","Ciudad Bolívar","3rd arrondissement of Paris","male","France","painter,sculptor,jewelry designer","1923","2005"
"Julio Le Parc","Palmira",,"male","France","painter,sculptor,visual artist","1928",
"Jo Baer","Seattle",,"female","United States of America","photographer,artist,painter,architectural draftsperson,drawer","1929",
"Doug Wheeler",,,"male","United States of America","painter","1939",
"Mary Corse","Berkeley",,"female","United States of America","artist,painter,sculptor,visual artist","1945",
"Olafur Eliasson","Copenhagen",,"male","Kingdom of Denmark","visual artist","1967",
"Robert Irwin","Guildford","London","male","United Kingdom","writer,historian,arabist,novelist,naturalist,inventor,plumber,zookeeper,conservationist,herpetologist,politician,artist,painter,scenographer,installation artist,businessperson,educator,executive,photographer,television presenter,television actor","1946","2024"
"Kenny Scharf","Hollywood",,"male","United States of America","artist,painter,sculptor,performance artist,graffiti artist","1958",
"Kazuaki Tanahashi","Japan",,"male","Japan","writer,translator,poster artist,calligrapher","1933",
"Peter Doig","Edinburgh",,"male","United Kingdom","artist,painter,drawer,politician,trade unionist","1959","1996"
"Zhang Xiaogang","Kunming",,"male","People's Republic of China","painter,politician","1958",
"Andre Cadere","Warsaw","14th arrondissement of Paris","male","Romania","artist,sculptor,conceptual artist","1934","1978"
"Bruce Nauman","Fort Wayne",,"male","United States of America","photographer,artist,television producer,sculptor,visual artist,performance artist,printmaker,architectural draftsperson,drawer,installation artist,video artist","1941",
"Derek Boshier","Portsmouth","Los Angeles","male","United Kingdom","photographer,painter,sculptor,serigrapher","1937","2024"
"Edward Krasinski","Lutsk","Warsaw","male","Poland","painter,sculptor,performance artist,conceptual artist","1925","2004"
"Ettore Spalletti","Cappelle sul Tavo","Cappelle sul Tavo","male","Italy","painter,sculptor,visual artist","1940","2019"
"Fred Sandback","Bronxville","New York City","male","United States of America","painter,sculptor,visual artist,drawer,conceptual artist","1943","2003"
"Gianni Piacentino","Coazze",,"male","Italy","painter,sculptor","1945",
"Kishio Suga","Morioka",,"male","Japan","sculptor,installation artist","1944",
"Lynda Benglis","Lake Charles",,"female","United States of America","photographer,painter,sculptor,performance artist,video artist","1941",
"Martial Raysse","Golfe-Juan",,"male","France","artist,illustrator,painter,sculptor,film director,visual artist","1936",
"Martin Barre","Birmingham","Paris","male","United Kingdom","musician,guitarist,saxophonist,flautist,photographer,painter","1946","1993"
"Niele Toroni","Muralto",,"male","Switzerland","painter,visual artist,drawer","1937",
"Robert Ryman","Nashville","Greenwich Village","male","United States of America","illustrator,painter,visual artist,drawer","1930","2019"
"Sheila Hicks","Hastings",,"female","United States of America","weaver,artist,painter,designer,textile artist,manufacturer","1934",
"Tess Jaray","Vienna",,"female","United Kingdom","painter","1937",
"Alison Knowles","New York City",,"female","United States of America","artist,visual artist,performance artist,drawer,sound artist,electronic literature writer,rower","1933",
"Jim Dine","Cincinnati",,"male","United States of America","photographer,artist,illustrator,painter,sculptor,graphic artist,scenographer,visual artist,designer,performance artist,printmaker,drawer,lithographer,assemblage artist","1935",
"John Armleder","Geneva",,"male","Switzerland","artist,sculptor,university teacher,visual artist","1948",
"Mark Dion","New Bedford",,"male","United States of America","visual artist,drawer,installation artist,conceptual artist,lawyer,politician","1961",
"Adrian Ghenie","Baia Mare",,"male","Romania","painter,visual artist","1977",
"Adriana Varej?o","Rio de Janeiro",,"female","Brazil","painter,sculptor,visual artist,drawer","1964",
"Anish Kapoor","Mumbai",,"male","United Kingdom","architect,artist,painter,sculptor,jewelry designer,scenographer,visual artist,drawer","1954",
"Chris Ofili","Manchester",,"male","United Kingdom","photographer,artist,painter,sculptor,visual artist,drawer","1968",
"Dana Schutz","Livonia",,"female","United States of America","painter,drawer","1976",
"Enzo Cucchi","Morro d'Alba",,"male","Italy","painter,sculptor,visual artist,printmaker,drawer,installation artist","1949",
"Georg Baselitz","Kamenz",,"male","Austria","artist,illustrator,painter,sculptor,university teacher,scenographer,printmaker","1938",
"Jenny Saville","Cambridge",,"female","United Kingdom","photographer,painter","1970",
"Jorg Immendorff","Bleckede","Düsseldorf","male","Germany","painter,sculptor,university teacher,graphic artist,drawer,lithographer","1945","2007"
"Julian Schnabel","New York City",,"male","United States of America","screenwriter,photographer,painter,sculptor,film director,visual artist,director,printmaker,architectural draftsperson,drawer","1951",
"Martin Disler","Seewen","Geneva","male","Switzerland","writer,illustrator,painter,sculptor,graphic artist,drawer","1949","1996"
"Susan Rothenberg","Buffalo","Galisteo","female","United States of America","photographer,artist,illustrator,painter","1945","2020"
"Wilhelm Sasnal","Tarnów",,"male","Poland","photographer,illustrator,painter,film director,visual artist,drawer,video artist","1972",
"Gaylen Gerber","McAllen",,"male","United States of America","painter","1955",
"Ashley Bickerton","Barbados","Bali Island","male","United States of America","painter,printmaker,installation artist,conceptual artist","1959","2022"
"Beatriz Milhazes","Rio de Janeiro",,"female","Brazil","painter,printmaker,installation artist,collagist","1960",
"Gary Hume","Tenterden",,"male","United Kingdom","photographer,printer,illustrator,painter,sculptor,graphic artist,drawer,conceptual artist","1962",
"Jeff Koons","York",,"male","United States of America","photographer,painter,sculptor,designer,installation artist","1955",
"Julian Opie","London",,"male","United Kingdom","painter,sculptor,scenographer,printmaker","1958",
"Takashi Murakami","Tokyo",,"male","Japan","painter,sculptor,film director,installation artist,golfer,mangaka,researcher,myriapodologist","1962","1947"
"Wang Guangyi","Harbin",,"male","People's Republic of China","painter,sculptor","1957",
"Francisco Goya","Fuendetodos","Bordeaux","male","Spain","painter,visual artist,etcher,printmaker,drawer,lithographer","1746","1828"
"Albert Oehlen","Krefeld",,"male","Germany","painter,university teacher,printmaker","1954",
"Luc Tuymans","Mortsel",,"male","Belgium","photographer,painter,filmmaker,visual artist,architectural draftsperson,drawer","1958",
"Rosemarie Trockel","Schwerte",,"female","Germany","photographer,painter,sculptor,university teacher,textile artist,printmaker,drawer,installation artist,video artist,conceptual artist","1952",
"Julian Stanczak","Poland","Seven Hills","male","United States of America","painter,printmaker","1928","2017"
"Marina Abramoviæ","Belgrade",,"female","Serbia","screenwriter,photographer,artist,sculptor,university teacher,film director,scenographer,film producer,visual artist,performance artist,video artist,sound artist","1946",
"Heinrich Kuhn","Dresden","Birgitz","male","Austria","photographer,writer,politician,gynecologist,businessperson,painter,author,journalist,conductor,plastering,sculptor,historian,archivist,mathematician","1866","1944"
"Alex Katz","New York City",,"male","United States of America","artist,painter,sculptor,graphic artist,designer,baseball player","1927","1940"
"Jim Lambie","Glasgow",,"male","United Kingdom","artist,painter,drawer","1964",
"Marjorie Strider","Guthrie","Saugerties","female","United States of America","artist,performing artist,painter,sculptor","1931","2014"
"Richard Hamilton","London","London","male","United Kingdom","photographer,artist,painter,drawer,collagist,computer artist,mathematician,university teacher,basketball player,actor,stage actor,television actor,film actor,military personnel,military officer,Christian minister,rower,rowing coach,creator,physician,boxer,researcher,conservationist,classical philologist,writer,judge,radio journalist","1922","2011"
"Alison Wilding","Blackburn",,"female","United Kingdom","sculptor,university teacher","1948",
"Antony Gormley","London",,"male","United Kingdom","photographer,sculptor,scenographer,drawer,installation artist","1950",
"Bill Bollinger","Brooklyn",,"male","United States of America","architect,sculptor","1939","1988"
"David Hammons","Springfield",,"male","United States of America","artist,painter,sculptor,visual artist,performance artist,printmaker,architectural draftsperson,drawer,installation artist,video artist,conceptual artist,lawyer,politician","1943","1888"
"Ernesto Neto","Rio de Janeiro",,"male","Brazil","painter,sculptor,drawer,installation artist","1964",
"Giorgio Griffa","Turin",,"male","Italy","painter","1936",
"Guy Mees","Mechelen","Antwerp","male","Belgium","painter,visual artist","1935","2003"
"Lita Albuquerque","Santa Monica",,"female","United States of America","artist,painter,sculptor,novelist,installation artist,land artist","1946",
"Nancy Graves","Pittsfield","New York City","female","United States of America","artist,painter,sculptor,filmmaker,graphic artist,scenographer,printmaker,architectural draftsperson,drawer,conceptual artist","1939","1995"
"Piero Gilardi","Turin","Turin","male","Italy","sculptor,visual artist,performance artist","1942","2023"
"Rachel Whiteread","London",,"female","United Kingdom","photographer,artist,sculptor,drawer,installation artist,conceptual artist","1963",
"Richard Deacon","Bangor","Los Angeles","male","United Kingdom","artist,sculptor,university teacher,jewelry designer,drawer,actor,stage actor,chef,television actor,film actor,association football player","1949","1984"
"Pat Steir","Newark",,"female","United States of America","artist,illustrator,painter,university teacher,graphic artist,installation artist,politician","1938",
"Njideka Akunyili Crosby","Enugu",,"female","United States of America","painter,visual artist","1983",
"Gustave Dore","Strasbourg","Paris","male","France","illustrator,comics artist,painter,sculptor,graphic artist,visual artist,caricaturist,printmaker,drawer,lithographer","1832","1883"
"Jean-Francois Millet","Gréville-Hague","Barbizon","male","France","photographer,engraver,painter,graphic artist,plower,visual artist,architectural draftsperson","1814","1875"
"John Henderson","Hastings","Hastings","male","New Zealand","researcher,cricketer,broadcasting executive,American football player,naval officer,judge,barrister,lithographer,physician,psychiatrist,criminal defense lawyer,civil servant,political scientist,politician,rugby league player,plantation owner,lawyer,university teacher,classical scholar,philologist,classical philologist,screenwriter,film director,director,manufacturer,association football player,association football manager,editor,publisher,newspaper editor,painter,Australian rules football player,military personnel,engineer,businessperson,actor,architect,darts player,hurler,ice hockey player,physicist,novelist,art collector,geologist,diplomat,military officer,historian,visual artist,hydraulic engineer,chemist,circus performer,bowls player,photographer","1928","2019"
"John Russell","Streatham","Woburn","male","Kingdom of Great Britain","politician,diplomat,cricketer,basketball player,basketball coach,actor,military officer,veteran,television actor,film actor,painter,presbyter,jazz guitarist,jazz musician,preacher,American football player,baseball player,screenwriter,writer,sailor,military personnel,military physician,athletics competitor,flying ace,judge,priest,Catholic bishop,theologian,businessperson,colonial administrator,knight,pastellist,rower,association football manager,association football player,art historian,journalist,show jumper,industrialist,ironmaster,novelist,head teacher,cleric,domestic worker,author,lawyer,researcher,advocate,pirate,artist,child actor,printmaker,naval officer,engraver,literary historian,publisher","1710","1771"
"Richard Wilson","Sydney","Colomendy","male","United Kingdom","politician,basketball player,cricketer,academic,barrister,gunsmith,rugby league player,programmer,actor,stage actor,painter,television presenter,film director,theatrical director,television actor,film actor,association football player,professional wrestler,musician,sculptor,installation artist,writer,novelist,science fiction writer,farmer,military officer,physicist,author,literary critic,researcher,geneticist,film producer,entrepreneur,businessperson,rugby union player,anthropologist,Africanist,journalist,economist,university teacher,Catholic priest,Catholic bishop","1869","1766"
"David Scott","New Zealand","Newport","male","United States of America","university teacher,art historian,preservationist,geologist,oceanographer,micropaleontologist,teacher,chemist,high-school teacher,artist,software engineering,video game developer,journalist,broadcaster,film director,photographer,hotel manager,military officer,winegrower,painter,musician,impressionist,manufacturer,rheumatologist,engineer,artistic gymnast,gymnast,naval officer,barrister,politician,business executive,astronaut,test pilot,aircraft pilot,pornographic actor,diplomat,submariner,judge,lawyer,historian,writer,businessperson,head teacher,pedagogue,visual artist,Anglican priest,rugby league player,basketball player,Australian rules football player,cricketer,researcher,academic,business consultant,chairperson,local politician,lecturer,framer,statistician,sculptor,Beamter,magazine editor,nonprofit administrator,composer","1947","2021"
"James Hamilton","Chipping Campden","Taunton railway station","male","United Kingdom of Great Britain and Ireland","barrister,designer,surgeon,Christian minister,association football player,economist,political scientist,university teacher,academic,communication scholar,researcher,basketball player,soldier,naval officer,baseball player,music critic,journalist,judge,artist,politician,film screenwriter,professor,producer,lawyer,lord of the manor,American football player,association football manager,manager,painter,obstetrician,cricketer,civil servant,civil engineer,aerospace engineer,Catholic priest,publisher,rower,diplomat,bretteur,teacher,businessperson,pedagogue,architect,United States Secretary of State,military officer,priest,religious figure,physicist,mathematician,theoretical physicist,snowboarder,large estate owner,curler,land owner,aristocrat,historian,military personnel,photographer,physician,preacher,translator,musician,astronomer","1849","1850"
