"name","birth_place","death_place","gender","citizenship","occupation_str","birth_year","death_year"
"Sarah Ortmeyer","Frankfurt",,"female","Germany","photographer,visual artist,drawer,installation artist","1980",
"Karen Knorr","Frankfurt",,"female","United States of America","photographer","1954",
"Salvatore Arancio","Catania",,"male","Italy","visual artist,architect","1974",
"Josh Kline","Hoffman Estates",,"male","United States of America","American football player,sculptor,installation artist,video artist","1989",
"Jacques Louis David","Paris","City of Brussels","male","France","politician,painter,architectural draftsperson","1748","1825"
"Shilpa Gupta","Mumbai",,"female","India","artist,sculptor,designer,new media artist,cricketer","1976",
"Hiwa K","Sulaymaniyah",,"male",,"visual artist","1975",
"Charlie Billingham",,,"male","United Kingdom","artist","1984",
"Christine Meisner","Nuremberg",,"female","Germany","video artist","1970",
"Rossella Biscotti","Molfetta",,"female","Italy","photographer,sculptor,performance artist,installation artist,video artist,video installation artist","1978",
"Teresita Fernandez","Miami",,"female","United States of America","photographer,sculptor,drawer,installation artist","1968",
"Magali Reus","The Hague",,"female","Kingdom of the Netherlands","visual artist,installation artist,video artist","1981",
"Bruna Esposito","Rome",,"female","Italy","sculptor,installation artist","1960",
"Jason Wee","Singapore",,"male",,"researcher,writer,artist","1979",
"Roberto Cuoghi","Modena",,"male","Italy","sculptor,visual artist","1973","2013"
"Luca Buvoli",,,"male","Italy","visual artist","1963",
"Wang Keping","Beijing",,"male","People's Republic of China","jewelry designer,visual artist,contemporary artist,philosopher","1949",
"Carlos Zilio","Rio de Janeiro",,"male","Brazil","teacher,painter","1944",
"Katharina Fritsch","Essen",,"female","Germany","sculptor,university teacher,visual artist,installation artist,researcher","1956",
"Franklin Cassaro",,,"male",,"","1962",
"Beth Lipman","Philadelphia",,"female","United States of America","artist,glass artist","1971",
"Pedro Cabrita Reis","Lisbon",,"male","Portugal","artist,painter,sculptor,visual artist","1956",
"Francesca Grilli","Bologna",,"female","Italy","performance artist,video artist","1978",
"Stuart Ringholt","Perth",,"male",,"performance artist","1971",
"Francesco Arena","Messina",,"male","Italy","politician,association football referee,researcher","1926","1975"
"Nico Vascellari",,,"male","Italy","artist","1976",
"Fred Wilson","New York City","Cambridge","male","Canada","financier,blogger,venture capitalist,politician,photographer,artist,painter,sculptor,printmaker,drawer,installation artist,conceptual artist,screenwriter,film director,director,film editor,producer,Australian rules football player,ice hockey player,baseball player,philosopher","1961","1994"
"James Angus","Perth",,"male","Australia","artist,sculptor,pharmacologist,soldier","1970","1916"
"Alessandro Pessoli","Cervia",,"male","Italy","artist,drawer","1963",
"Esther Stocker","Schlanders",,"female","Italy","painter,sculptor","1974",
"Janet Echelman","Tampa",,"female","United States of America","sculptor","1966",
"Michael Staniak",,,"male","Australia","artist","1982",
"Vlado Martek","Zagreb",,"male","Yugoslavia","writer,new media artist","1951",
"Hamish Fulton","London",,"male","United Kingdom","photographer,artist,illustrator,visual artist,conceptual artist,land artist","1946",
"Gulammohammed Sheikh","Surendranagar",,"male","India","poet,painter","1937",
"Luisa Rabbia","Turin",,"female","United States of America","artist","1970",
"Lukas Feireiss",,,"male",,"writer,exhibition curator,pedagogue,visual artist","1977",
"Louis Vuitton","Lavans-sur-Valouse","Asni?res-sur-Seine","male","France","businessperson,entrepreneur,merchant,dressmaker,fashion designer,designer","1821","1892"
"Roman Signer","Appenzell",,"male","Switzerland","photographer,sculptor,video artist","1938",
"Martin Puryear","Washington, D.C.",,"male","United States of America","artist,illustrator,sculptor,installation artist","1941",
"Eva Rothschild","Dublin",,"female","Ireland","artist,sculptor,drawer,video artist","1971",
"Eliseo Mattiacci","Cagli","Pesaro","male","Italy","artist,sculptor,performance artist","1940","2019"
"Alberto Casado","Madrid",,"male","Spain","comedian","1983",
"Paola Pivi","Milan",,"female","Italy","photographer,artist","1971",
"Luca Pozzi",,,"male","Italy","artist,researcher","1983",
"Vincenzo Agnetti","Milan","Milan","male","Italy","photographer,conceptual artist","1926","1981"
"Gabriel Kuri","Mexico City",,"male","Mexico","photographer,sculptor,visual artist,installation artist,conceptual artist","1970",
"Sarah Oppenheimer","Austin",,"female","United States of America","artist,sculptor,installation artist","1972",
"David Maljkovic",,,"male","Croatia","photographer,visual artist,drawer,video artist,conceptual artist","1973",
"Emilio Isgr?","Barcellona Pozzo di Gotto",,"male","Italy","actor,writer,poet,artist,dramaturge,journalist,visual artist,director","1937",
"Misha Kahn","Duluth",,"male",,"designer","1989",
"Francesco Vezzoli","Brescia",,"male","Italy","photographer,filmmaker,film director,textile artist,performance artist,video artist,conceptual artist","1971",
"Judith Hopf","Karlsruhe",,"female","Germany","artist,installation artist,video artist","1969",
"Andrea Galvani","Italy",,"male",,"photographer","1973",
"Maud Cotter","Wexford",,"female","Ireland","visual artist","1954",
"Jota Castro",,,"male","Peru","visual artist","1965",
"Jean Nouvel","Fumel",,"male","France","teacher,architect","1945",
"Jaume Plensa","Barcelona",,"male","Spain","photographer,painter,sculptor,visual artist,printmaker,architectural draftsperson","1955",
"Ho Tzu Nyen","Singapore",,"male","Singapore","author,creator,theatrical director","1976",
"Martin Wong","Portland","San Francisco","male","United States of America","painter,actor,model,researcher","1946","1999"
"Alice Wang",,,"female","Taiwan","lawyer,politician,film director,researcher,strategist","1964",
"Edmund de Waal","Nottingham",,"male","United Kingdom","writer,university teacher,visual artist,potter,art critic,ceramicist,printmaker,non-fiction writer","1964",
"Ken Price","Dudley","Peterborough","male","United Kingdom","association football player,artist,illustrator,ceramicist,weightlifter","1954","2014"
"Mario Botta","Mendrisio",,"male","Switzerland","teacher,architect,university teacher,restorer,designer,researcher","1943",
"Ugo La Pietra","Bussi sul Tirino",,"male","Italy","writer,teacher,architect,musician,filmmaker,editor,designer,drawer","1938",
"Hella Jongerius","De Meern",,"female","Kingdom of the Netherlands","university teacher,designer,industrial designer,textile designer,ceramics designer","1963",
"Manal Al Dowayan","Dhahran",,"female","Saudi Arabia","photographer","1973",
"Elena Mazzi",,,"female",,"author,dramaturge,scenographer",,
"Gianni Caravaggio","Rocca San Giovanni",,"male","Italy","artist,sculptor","1968",
"Monika Grzymala","Zabrze",,"female","Poland","sculptor,graphic artist,installation artist","1970",
"Claudia Comte","Morges",,"female","Switzerland","visual artist,printmaker,installation artist","1983",
"Irma Boom","Lochem",,"female","Kingdom of the Netherlands","graphic designer,typographer,postage stamp designer,designer","1960",
"Jacques Charlier","Li?ge",,"male","Belgium","photographer,comics artist,painter,printmaker,installation artist,artisan","1939","1790"
"Rainer Ganahl","Bludenz",,"male","Austria","photographer,artist,university teacher,performance artist,video artist","1961",
"Paolo Icaro","Turin",,"male","Italy","sculptor","1936",
"Geoffrey Mann",,,"male","United Kingdom","artist,designer","1980",
"Flavio Favelli","Florence",,"male","Italy","visual artist,designer,performance artist","1967",
"Maurizio Mochetti",,,"male","Italy","artist","1940",
"Luisa Lambri","Como",,"female","Italy","photographer,artist,video artist","1969",
"Shinji Ohmaki",,,,,"","1971",
"Inji Efflatoun","Shobra","Cairo","female","Egypt","painter,activist,women's rights activist","1924","1989"
"Diego Perrone","Montevideo",,"male","Uruguay","association football player,singer,photographer,sculptor,filmmaker","1977",
"Adham Faramawy",,,"male",,"artist","1981",
"Riccardo Benassi",,,"male",,"film director",,
"Ana Lupa?","Cluj-Napoca",,"female","Romania","designer,textile artist,installation artist,conceptual artist","1940",
"Stephan Balkenhol","Fritzlar",,"male","Germany","photographer,painter,sculptor,university teacher,visual artist","1957",
"Gimhongsok",,,"male","South Korea","artist,installation artist","1964",
"Axel Vervoordt","Antwerp",,"male","Belgium","art dealer,art collector","1947",
"Luca Vitone","Genoa",,"male","Italy","visual artist,conceptual artist","1964",
"Betye Saar","Los Angeles",,"female","United States of America","artist,painter,sculptor,graphic artist,jewelry designer,printmaker,installation artist,assemblage artist","1926",
"Fabrice Gygi","Geneva",,"male","Switzerland","visual artist","1965",
"Michele De Lucchi","Ferrara",,"male","Italy","architect,university teacher,designer","1951",
"Luca Trevisani","Verona",,"male","Italy","artist,installation artist","1979",
"Kaspar Müller","Q1708440",,"male","Switzerland","artist,installation artist,politician,chancellor","1796","1830"
"Jumana Manna","Princeton",,"female","State of Palestine","filmmaker,film director,installation artist,contemporary artist","1987",
"Monika Baer","Freiburg im Breisgau",,"female","Germany","painter,visual artist,drawer,anthropologist","1964",
"Marcelo Cidade","S?o Paulo",,,,"",,
"Diana al-Hadid","Aleppo",,"female","United States of America","artist,sculptor","1981",
"Maria Thereza Alves","S?o Paulo",,"female","Brazil","performance artist,installation artist,video artist","1961",
"Philip Taaffe","Elizabeth",,"male","United States of America","illustrator,painter","1955",
"Bartolomeo Pietromarchi","Rome",,"male","Italy","exhibition curator,art historian,art critic,television writer","1968",
"Antonio Manuel","Almodóvar del Río",,"male","Spain","university teacher","1968",
"Joel Sternfeld","New York City",,"male","United States of America","photographer","1944",
"Yto Barrada","Paris",,"female","France","photographer,artist,visual artist,fashion designer","1971",
"Zineb Sedira","Paris",,"female","France","photographer,artist,television producer,video installation artist","1963",
"Gianni Berengo Gardin","Santa Margherita Ligure",,"male","Italy","photographer","1930",
"Lenora de Barros","S?o Paulo",,"female","Brazil","writer,poet,visual artist","1953",
"Iwan Baan","Alkmaar",,"male","Kingdom of the Netherlands","photographer,architect,architectural photographer","1975",
"Sean Lynch","Enniskillen",,"male","Ireland","rugby union player,politician,association football player,visual artist,researcher,television actor,film actor,rugby league player","1942","1979"
"Franco Vaccari","Modena",,"male","Italy","photographer,poet,visual poet,researcher,psychologist,visual artist","1936",
"Massimo Vitali","Como",,"male","Italy","photographer,photojournalist,journalist","1944",
"Walter Niedermayr","Bolzano",,"male","Italy","photographer,architect","1952",
"Erik Steinbrecher","Basel",,"male","Switzerland","photographer,sculptor","1963",
"Seydou Ke?ta","Bamako","Paris","male","Mali","photographer","1923","2001"
"Paula Trope","Rio de Janeiro",,"female","Brazil","","1962",
"Giovanni Chiaramonte","Varese","Milan","male","Italy","photographer,photojournalist,editor,university teacher,journalist","1948","2023"
"Liu Ding",,,"male","People's Republic of China","photographer,artist,installation artist","1976","1232"
"Reinhard Mucha","Düsseldorf",,"male","Germany","photographer,sculptor,visual artist,installation artist,conceptual artist","1950",
"Junya Watanabe","Fukushima",,"male","Japan","personal stylist,figure skater,ice dancer,researcher,paleontologist,linguist","1961",
"Barbara Bloom","Los Angeles",,"female","United States of America","photographer,lithographer,installation artist,video artist,plastic artist,screenwriter,television producer","1951",
"Liu Ye","Shou County",,"male","Cao Wei","politician,actor,stage actor,television actor,film actor,visual artist,poet,businessperson,television presenter,singer,researcher","0171","0234"
"Kimsooja","Daegu",,"female","South Korea","television producer,installation artist,video artist","1957",
"Ecke Bonk","Cairo",,"male","Germany","visual artist,conceptual artist","1953",
"Huang Rui","Beijing",,"male","People's Republic of China","artist,curator","1952","1890"
"Miquel Barceló","Felanitx",,"male","Spain","illustrator,painter,sculptor,graphic artist,visual artist,ceramicist,printmaker,writer,engineer,professor,translator,editor,novelist,science fiction writer","1957","2021"
"Edward Burne Jones","Birmingham","London","male","United Kingdom","artist,illustrator,painter,visual artist,designer,architectural draftsperson,drawer","1833","1898"
"Jean Francois Millet","Gréville-Hague","Barbizon","male","France","photographer,engraver,painter,graphic artist,plower,visual artist,architectural draftsperson","1814","1875"
"Carlos Cruz Diez","Caracas","Neuilly-sur-Seine","male","France","painter,sculptor,jewelry designer,installation artist,serigrapher,light artist","1923","2019"
"Catherine Murphy","Sheffield","Newgate Prison","female","Kingdom of Great Britain","athletics competitor,politician,film director,chemist,university teacher,artist,painter,drawer,writer,stand-up comedian,researcher,documentary filmmaker","1701","1789"
"Lee Ufan","Seoul",,"male","South Korea","writer,painter,pedagogue,sculptor,university teacher,graphic artist,jewelry designer,visual artist,philosopher,printmaker","1936",
"Geta Bratescu","Ploie?ti","Bucharest","female","Romania","photographer,painter,lithographer,conceptual artist,collagist","1926","2018"
"Henk Peeters","The Hague",,"male","Kingdom of the Netherlands","photographer,artist,painter,drawer","1925","2013"
"Gunter Fruhtrunk","Munich","Munich","male","Germany","teacher,painter,graphic artist","1923","1982"
"Amrita Sher Gil","Budapest","Lahore","female","British Raj","painter","1913","1941"
"Henri Cartier Bresson","Chanteloup-en-Brie","Montjustin","male","France","photographer,photojournalist,painter,journalist,film director","1908","2004"
"Paula Modersohn Becker","Dresden","Worpswede","female","German Empire","artist,painter,printmaker,drawer","1876","1907"
"Andre Bauchant","Château-Renault","Montoire-sur-le-Loir","male","France","painter,scenographer","1873","1958"
"Rafael Lozano-Hemmer","Mexico City",,"male","Canada","architect,painter,sculptor,multimedia artist,new media artist,digital artist","1967",
"Kr",,,"Q6581072","Q189","Q177220","1982",
